model,shot,metric,num_seeds,mean,std_across_seeds,min,max
cyclegan,5,clip_similarity,3,0.896879623333613,0.005350503073530222,0.893473645746708,0.9030466204881669
cyclegan,5,cmmd,3,0.041423712714028595,0.007709462315849265,0.03256486659102387,0.04661237435871346
cyclegan,5,lpips,3,0.5828936366736889,0.023394182240387782,0.5622800566256047,0.6083198843896389
cyclegan,5,ssim,3,0.6418741537133852,0.015768425880651294,0.6257792522013187,0.6572944508492946
cyclegan,10,clip_similarity,3,0.9171848887205124,0.0018832339737240248,0.9156000682711601,0.919266805946827
cyclegan,10,cmmd,3,0.017968987736501758,0.00039429984649356895,0.017576155370155222,0.018364738858679175
cyclegan,10,lpips,3,0.5425071075061957,0.004030419194367766,0.5379566486179829,0.5456274829804897
cyclegan,10,ssim,3,0.6758102571467558,0.015027726002376514,0.6586548858880996,0.6866468089818955
cyclegan,20,clip_similarity,3,0.9298110833764076,0.0015923140632352706,0.9282772901654244,0.9314560875296592
cyclegan,20,cmmd,3,0.012475640885334371,0.0015451591304370485,0.011274700696058737,0.01421883742786334
cyclegan,20,lpips,3,0.5354553949336212,0.01707734888985733,0.5219756942987442,0.554659558236599
cyclegan,20,ssim,3,0.6926722136636575,0.003242142484352898,0.6906792260706425,0.6964132453501225
cyclegan,50,clip_similarity,3,0.9306421326597532,0.0015300222802949925,0.9294253316521645,0.932359818816185
cyclegan,50,cmmd,3,0.013563216058273117,0.004663120052845247,0.009902448485102022,0.01881321593568841
cyclegan,50,lpips,3,0.5354363086819649,0.011093295436971934,0.5262841767072678,0.5477738219499588
cyclegan,50,ssim,3,0.7015852388739585,0.02463296551735299,0.6731474547088147,0.7163064396381378
pix2pix,5,clip_similarity,3,0.8956395597259204,0.014897695545216546,0.8786232134699822,0.9063327506184577
pix2pix,5,cmmd,3,0.054632445013252484,0.019392314473450866,0.03442453803762735,0.07309057304949129
pix2pix,5,lpips,3,0.5290312699476877,0.004435184105952287,0.5240161573886871,0.5324373486638069
pix2pix,5,ssim,3,0.644535929709673,0.032661037183907234,0.6252400183677673,0.6822462125122547
pix2pix,10,clip_similarity,3,0.9221912520130475,0.0065263674391917706,0.9147465842962265,0.9269265833497048
pix2pix,10,cmmd,3,0.026954802524685146,0.007987288050369861,0.01995035907839049,0.03565318623581226
pix2pix,10,lpips,3,0.5036483559012414,0.000889357997611389,0.5026387262344361,0.5043157856166363
pix2pix,10,ssim,3,0.6761036177476246,0.04802636138206331,0.6267507086694241,0.7226832492649555
pix2pix,20,clip_similarity,3,0.929103153347969,0.005282117988979995,0.9242563897371292,0.9347331583499908
pix2pix,20,cmmd,3,0.02505150090441403,0.008000494905217276,0.016730807855785512,0.032687832054886234
pix2pix,20,lpips,3,0.4945590156316757,0.007775654692892034,0.4867065519094467,0.5022555148601532
pix2pix,20,ssim,3,0.7173304785291355,0.003537251379410805,0.7136017920076847,0.7206387123465539
pix2pix,50,clip_similarity,3,0.9295555404822031,0.0037251832881884223,0.9272338739037513,0.9338523566722869
pix2pix,50,cmmd,3,0.02466348414883024,0.004254764168114311,0.019900671434239126,0.028088791560137327
pix2pix,50,lpips,3,0.4867227740089099,0.007999956139257896,0.48106230109930037,0.4958750815689564
pix2pix,50,ssim,3,0.6855829142530759,0.05490371642433941,0.6259187708795071,0.7339773288369179
